time,lat,lon,hdop,quality
1761210678.120772,37.5997255,127.0434065,0.69,5
1761210680.125621,37.5997067,127.0434122,0.69,5
1761210682.135361,37.5996907,127.0434137,0.69,2
1761210684.141653,37.5996773,127.0434175,0.69,5
1761210686.147875,37.5996632,127.0434185,0.66,5
1761210688.15795,37.5996473,127.0434203,0.69,2
1761210690.163987,37.5996323,127.0434198,0.67,2
1761210692.17145,37.5996152,127.0434208,0.67,2
1761210694.174927,37.5996003,127.0434243,0.66,2
1761210696.182572,37.5995852,127.0434258,0.66,2
1761210698.188673,37.5995705,127.043426,0.69,2
1761210700.193478,37.599554,127.0434268,0.7,2
1761210702.198756,37.5995393,127.0434285,0.68,5
1761210704.204865,37.5995257,127.0434287,0.72,5
1761210706.212077,37.5995102,127.04343,0.69,2
1761210708.216918,37.5994925,127.043431,0.68,2
1761210710.221463,37.5994763,127.0434348,0.68,5
1761210712.226156,37.5994615,127.0434362,0.71,2
1761210714.232193,37.5994458,127.0434388,0.72,5
1761210716.238732,37.5994298,127.0434458,0.71,5
1761210718.245568,37.599415,127.0434503,0.76,5
1761210720.251352,37.5993993,127.0434553,0.76,5
1761210722.256285,37.599384,127.0434623,0.72,5
1761210724.264054,37.5993697,127.0434688,0.65,5
1761210726.270197,37.599354,127.0434753,0.66,5
1761210728.276614,37.599334,127.043482,0.73,5
1761210730.282895,37.5993208,127.0434933,0.73,5
1761210732.289102,37.5993082,127.0435062,0.74,5
1761210734.295441,37.599299,127.0435187,0.74,5
1761210736.30199,37.5992907,127.0435348,0.73,5
1761210738.308235,37.599282,127.0435563,0.68,5
1761210740.314497,37.5992777,127.0435617,0.66,5
1761210742.320728,37.5992763,127.0435662,0.66,5
1761210744.324755,37.5992668,127.0435832,0.66,5
1761210746.330165,37.5992583,127.0435988,0.69,5
1761210748.336541,37.5992522,127.0436162,0.69,5
1761210750.341452,37.5992432,127.0436293,0.69,5
1761210752.346259,37.5992338,127.0436373,0.69,5
1761210754.352185,37.5992208,127.0436407,0.67,5
1761210756.359436,37.5992067,127.0436373,0.67,5
1761210758.365466,37.5991933,127.0436322,0.67,5
1761210760.370788,37.599181,127.043624,0.67,5
1761210762.376447,37.5991703,127.043614,0.67,5
1761210764.382313,37.5991557,127.0436067,0.67,5
1761210766.389008,37.5991413,127.0435997,0.67,5
1761210768.393371,37.5991288,127.043591,0.67,5
1761210770.399991,37.5991162,127.0435822,0.67,5
1761210772.408405,37.599107,127.043578,0.67,5
1761210774.413763,37.5991007,127.0435688,0.67,5
1761210776.420111,37.5990965,127.0435508,0.67,5
1761210778.426746,37.5990918,127.0435305,0.64,5
1761210780.433499,37.5990873,127.0435118,0.66,5
1761210782.440129,37.5990802,127.043498,0.66,5
1761210784.446455,37.599078,127.0434973,0.66,5
1761210786.45294,37.5990773,127.0434975,0.66,5
