gps_time,comp_time,lat,lon,alt,quality,hdop
02:04:54.300000,1749693894.3470123,37.5979535,127.0444493,52.700,2,1.25
02:04:55.800000,1749693895.8470776,37.5979398,127.0444472,52.900,2,1.25
02:04:57.400000,1749693897.4480171,37.5979258,127.0444427,52.600,2,1.25
02:04:58.800000,1749693898.8482082,37.5979118,127.0444395,52.900,2,1.25
02:05:00.500000,1749693900.5474894,37.5978983,127.0444365,53.400,2,1.25
02:05:01.900000,1749693901.9489186,37.5978845,127.0444328,53.400,2,1.25
02:05:03.800000,1749693903.843836,37.5978712,127.0444282,54.100,2,1.25
02:05:05.100000,1749693905.1455183,37.5978578,127.0444240,54.900,2,1.25
02:05:06.700000,1749693906.7456346,37.5978447,127.0444197,54.600,2,1.25
02:05:08.200000,1749693908.2474837,37.5978315,127.0444135,54.000,2,1.25
02:05:09.500000,1749693909.5453491,37.5978193,127.0444035,54.000,2,1.25
02:05:10.600000,1749693910.6453552,37.5978093,127.0443903,53.300,2,1.25
02:05:12.300000,1749693912.3450592,37.5978018,127.0443755,51.800,2,1.25
02:05:13.900000,1749693913.9457343,37.5977880,127.0443712,51.200,2,1.25
02:05:15.500000,1749693915.5426404,37.5977738,127.0443668,50.400,2,1.25
02:05:16.900000,1749693916.9466784,37.5977593,127.0443657,50.300,2,1.25
02:05:18.700000,1749693918.7456863,37.5977453,127.0443642,50.600,2,1.25
02:05:20.900000,1749693920.942193,37.5977323,127.0443560,49.800,2,1.25
02:05:22,1749693922.0493066,37.5977185,127.0443588,49.500,2,1.25
02:05:23.500000,1749693923.55198,37.5977052,127.0443543,49.400,2,1.36
02:05:25.200000,1749693925.2478683,37.5976928,127.0443468,48.400,2,1.36
02:05:28.400000,1749693928.4450295,37.5977035,127.0443360,48.100,2,1.36
02:05:30.600000,1749693930.6430902,37.5977128,127.0443235,47.000,2,1.36
02:05:32.100000,1749693932.14317,37.5977222,127.0443110,46.700,2,1.36
02:05:33.700000,1749693933.7442517,37.5977317,127.0442988,46.400,2,1.36
02:05:35.800000,1749693935.8458064,37.5977380,127.0442830,47.300,2,1.36
02:05:37.500000,1749693937.5446746,37.5977465,127.0442687,47.500,2,1.36
02:05:39.400000,1749693939.4453328,37.5977523,127.0442523,46.900,2,1.25
02:05:41,1749693941.0502546,37.5977560,127.0442350,47.000,2,1.25
02:05:42.200000,1749693942.244154,37.5977630,127.0442198,47.000,2,1.25
02:05:43.400000,1749693943.4433327,37.5977702,127.0442048,46.600,2,1.25
02:05:44.600000,1749693944.645008,37.5977762,127.0441892,46.600,2,1.25
02:05:45.900000,1749693945.9447868,37.5977808,127.0441728,45.500,2,1.25
02:05:47.400000,1749693947.4447932,37.5977853,127.0441563,45.100,2,1.25
02:05:48.700000,1749693948.7458506,37.5977885,127.0441395,44.800,2,1.25
02:05:50.400000,1749693950.4453125,37.5977965,127.0441248,44.300,2,1.25
02:05:51.900000,1749693951.943605,37.5977990,127.0441067,44.100,2,1.25
02:05:53.100000,1749693953.143954,37.5978008,127.0440890,44.300,2,1.25
02:05:54.200000,1749693954.2431145,37.5978023,127.0440715,44.700,2,1.25
02:05:55.500000,1749693955.542677,37.5978048,127.0440540,45.100,2,1.25
02:05:57.200000,1749693957.2437992,37.5978068,127.0440362,45.000,2,1.25
02:05:58.800000,1749693958.8444424,37.5978047,127.0440192,44.600,2,1.25
02:06:00.100000,1749693960.1458983,37.5978120,127.0440040,45.400,2,1.25
02:06:01.600000,1749693961.6452377,37.5978177,127.0439870,45.600,2,1.25
02:06:02.900000,1749693962.9431221,37.5978250,127.0439705,45.600,2,1.25
02:06:04.600000,1749693964.6456306,37.5978302,127.0439547,45.900,2,1.25
02:06:06,1749693966.048362,37.5978405,127.0439432,46.600,2,1.25
02:06:08.700000,1749693968.743306,37.5978525,127.0439350,46.100,2,1.25
02:06:10.400000,1749693970.444174,37.5978653,127.0439278,46.900,2,1.25
02:06:12.100000,1749693972.1443453,37.5978748,127.0439148,46.100,2,1.25
02:06:13.900000,1749693973.9431372,37.5978862,127.0439052,45.400,2,1.25
02:06:15.700000,1749693975.743391,37.5978977,127.0438957,44.800,2,1.40
02:06:18.300000,1749693978.3424058,37.5979098,127.0438857,44.400,2,1.40
02:06:19.900000,1749693979.9423885,37.5979205,127.0438737,44.200,2,1.40
02:06:22.300000,1749693982.3427198,37.5979337,127.0438680,43.100,2,1.40
02:06:23.300000,1749693983.3443694,37.5979425,127.0438543,43.100,2,1.40
02:06:25.100000,1749693985.1425743,37.5979528,127.0438433,42.900,2,1.40
02:06:27,1749693987.0458767,37.5979567,127.0438267,42.200,2,1.58
02:06:28.900000,1749693988.9429183,37.5979653,127.0438125,40.600,2,1.58
02:06:32,1749693992.0458856,37.5979787,127.0438067,42.400,2,1.40
02:06:33.200000,1749693993.2454321,37.5979892,127.0437952,42.500,2,1.40
02:06:34.800000,1749693994.8433256,37.5980020,127.0437873,43.000,2,1.58
02:06:36.200000,1749693996.243243,37.5980098,127.0437732,42.700,2,1.58
02:06:38.200000,1749693998.243483,37.5980180,127.0437587,42.800,2,1.58
02:06:39.200000,1749693999.2421682,37.5980248,127.0437418,42.200,2,1.58
02:06:40.700000,1749694000.7433088,37.5980332,127.0437283,42.400,2,1.58
02:06:41.800000,1749694001.8436446,37.5980432,127.0437168,41.300,2,1.58
02:06:43.600000,1749694003.643625,37.5980543,127.0437068,41.200,2,1.48
02:06:45.200000,1749694005.2432892,37.5980643,127.0436943,40.500,2,1.48
02:06:47.500000,1749694007.5434365,37.5980743,127.0436813,40.800,2,1.48
02:06:49.600000,1749694009.6477354,37.5980852,127.0436708,42.000,2,1.48
02:06:51.800000,1749694011.843394,37.5980965,127.0436597,43.700,2,1.72
02:06:54.400000,1749694014.4426324,37.5980910,127.0436432,46.000,2,1.48
02:06:56.800000,1749694016.8435395,37.5980782,127.0436378,46.400,2,1.25
02:07:00.900000,1749694020.943805,37.5980793,127.0436203,47.400,2,1.48
02:07:03.400000,1749694023.4462328,37.5980745,127.0436042,47.900,2,1.48
02:07:05.700000,1749694025.7437024,37.5980777,127.0435875,47.200,2,1.48
02:07:07.300000,1749694027.3432488,37.5980828,127.0435708,47.100,2,1.72
02:07:08.300000,1749694028.3430715,37.5980895,127.0435558,46.300,2,1.72
02:07:10.200000,1749694030.242774,37.5980938,127.0435382,47.900,2,1.48
02:07:12.300000,1749694032.344139,37.5980830,127.0435277,50.500,2,1.48
02:07:14.700000,1749694034.7435436,37.5980700,127.0435343,52.600,2,1.58
02:07:19.800000,1749694039.84143,37.5980835,127.0435382,60.600,2,1.58
02:07:21.300000,1749694041.342047,37.5980970,127.0435345,62.400,2,1.58
02:07:23.600000,1749694043.6396759,37.5981082,127.0435240,61.800,2,2.06
02:07:27.100000,1749694047.1436162,37.5980982,127.0435120,65.200,2,2.06
02:07:29,1749694049.0439548,37.5981117,127.0435088,67.200,2,2.06
02:07:30.500000,1749694050.5407982,37.5981217,127.0434968,66.900,2,2.06
02:07:31.400000,1749694051.4401233,37.5981283,127.0434818,67.200,2,1.40
02:07:33.200000,1749694053.2415745,37.5981302,127.0434648,70.800,2,1.40
02:07:35,1749694055.0431077,37.5981403,127.0434527,74.400,2,1.40
02:07:37.100000,1749694057.1430576,37.5981485,127.0434383,73.000,2,1.58
02:07:38.600000,1749694058.6413314,37.5981478,127.0434207,72.500,2,1.58
02:07:40.700000,1749694060.740856,37.5981545,127.0434045,70.600,2,1.25
02:07:42,1749694062.044468,37.5981548,127.0433870,69.500,2,1.36
02:07:43.200000,1749694063.2446058,37.5981552,127.0433685,68.500,2,1.46
02:07:44.700000,1749694064.743142,37.5981575,127.0433515,67.000,2,2.03
02:07:45.700000,1749694065.7428524,37.5981513,127.0433348,64.800,2,2.03
02:07:46.900000,1749694066.9452584,37.5981490,127.0433180,62.700,2,2.03
02:07:48.500000,1749694068.5419297,37.5981475,127.0432992,60.800,2,1.25
02:07:49.500000,1749694069.5433815,37.5981377,127.0432855,58.400,2,1.37
